epoch number,learning rate,batch size,dropout rate,training time
1.0,1e-06,16.0,0.25,26.371401062700897
5.0,1e-06,16.0,0.25,176.73863952886313
10.0,1e-06,16.0,0.25,352.8234330830164
15.0,1e-06,16.0,0.25,528.8704185248353
1.0,1e-06,32.0,0.25,16.72351735411212
5.0,1e-06,32.0,0.25,128.42751727206632
10.0,1e-06,32.0,0.25,253.1397055061534
15.0,1e-06,32.0,0.25,379.5417936537415
1.0,1e-06,64.0,0.25,12.212212339043617
5.0,1e-06,64.0,0.25,104.78741339594126
10.0,1e-06,64.0,0.25,207.7076820838265
15.0,1e-06,64.0,0.25,309.6819731569849
1.0,1e-06,80.0,0.25,11.730209751985967
5.0,1e-06,80.0,0.25,102.92223177710548
10.0,1e-06,80.0,0.25,202.6703668809496
15.0,1e-06,80.0,0.25,303.242023228202
1.0,1e-05,16.0,0.25,25.832151013892144
5.0,1e-05,16.0,0.25,176.51520115695894
10.0,1e-05,16.0,0.25,352.9390596137382
15.0,1e-05,16.0,0.25,527.2248608977534
1.0,1e-05,32.0,0.25,16.35903614992276
5.0,1e-05,32.0,0.25,124.42892532795668
10.0,1e-05,32.0,0.25,247.04264574497938
15.0,1e-05,32.0,0.25,370.1040537827648
1.0,1e-05,64.0,0.25,11.80280728591606
5.0,1e-05,64.0,0.25,96.14454233227298
10.0,1e-05,64.0,0.25,190.10640898393467
15.0,1e-05,64.0,0.25,282.3123145098798
1.0,1e-05,80.0,0.25,11.29957152204588
5.0,1e-05,80.0,0.25,92.53738806862384
10.0,1e-05,80.0,0.25,183.35020019859076
15.0,1e-05,80.0,0.25,274.4734035618603
1.0,0.0001,16.0,0.25,25.56839675316587
5.0,0.0001,16.0,0.25,174.12450758181512
10.0,0.0001,16.0,0.25,346.820920847822
15.0,0.0001,16.0,0.25,518.5869893631898
1.0,0.0001,32.0,0.25,16.493086010217667
5.0,0.0001,32.0,0.25,124.05991593422368
10.0,0.0001,32.0,0.25,246.31596194813028
15.0,0.0001,32.0,0.25,369.3518352629617
1.0,0.0001,64.0,0.25,12.077581787016243
5.0,0.0001,64.0,0.25,103.0434320489876
10.0,0.0001,64.0,0.25,204.93751397868618
15.0,0.0001,64.0,0.25,306.2473138156347
1.0,0.0001,80.0,0.25,11.162197497207671
5.0,0.0001,80.0,0.25,93.24392505921423
10.0,0.0001,80.0,0.25,187.8388153524138
15.0,0.0001,80.0,0.25,286.61014312226325
1.0,0.001,16.0,0.25,25.253849774133414
5.0,0.001,16.0,0.25,171.01994515117258
10.0,0.001,16.0,0.25,341.68014775495976
15.0,0.001,16.0,0.25,512.3789457147941
1.0,0.001,32.0,0.25,16.385256104171276
5.0,0.001,32.0,0.25,122.82057186495513
10.0,0.001,32.0,0.25,244.5556056429632
15.0,0.001,32.0,0.25,366.45560131780803
1.0,0.001,64.0,0.25,11.941742057912052
5.0,0.001,64.0,0.25,102.28649927210063
10.0,0.001,64.0,0.25,203.09080706676468
15.0,0.001,64.0,0.25,303.51182039268315
1.0,0.001,80.0,0.25,11.705231982748955
5.0,0.001,80.0,0.25,101.11825215769932
10.0,0.001,80.0,0.25,200.80322859901935
15.0,0.001,80.0,0.25,300.44845420867205
1.0,0.01,16.0,0.25,25.7268957211636
5.0,0.01,16.0,0.25,174.84568973397836
10.0,0.01,16.0,0.25,347.94330755993724
15.0,0.01,16.0,0.25,521.8448818931356
1.0,0.01,32.0,0.25,16.923611376900226
5.0,0.01,32.0,0.25,125.74033504910767
10.0,0.01,32.0,0.25,250.04137392807752
15.0,0.01,32.0,0.25,374.1462219581008
5.0,0.01,64.0,0.25,104.2539224899374
10.0,0.01,64.0,0.25,206.6969344979152
15.0,0.01,64.0,0.25,308.5120118507184
1.0,0.01,80.0,0.25,12.120683510322124
5.0,0.01,80.0,0.25,101.33490564813837
10.0,0.01,80.0,0.25,201.6010033893399
15.0,0.01,80.0,0.25,302.8317317571491
1.0,1e-06,16.0,0.5,25.960348817985505
5.0,1e-06,16.0,0.5,177.6651354469359
10.0,1e-06,16.0,0.5,353.6312801791355
15.0,1e-06,16.0,0.5,529.3424828308634
1.0,1e-06,32.0,0.5,16.528366720769554
5.0,1e-06,32.0,0.5,125.61962204379961
10.0,1e-06,32.0,0.5,250.31488387985155
15.0,1e-06,32.0,0.5,374.6783747477457
5.0,1e-06,64.0,0.5,102.80645010014996
10.0,1e-06,64.0,0.5,202.75381332775578
15.0,1e-06,64.0,0.5,301.43121856218204
1.0,1e-06,80.0,0.5,11.646302514709532
5.0,1e-06,80.0,0.5,101.68683077162132
10.0,1e-06,80.0,0.5,202.28180480189621
15.0,1e-06,80.0,0.5,302.18841966986656
1.0,1e-05,16.0,0.5,25.637056868057698
5.0,1e-05,16.0,0.5,174.90636134380475
10.0,1e-05,16.0,0.5,348.9027766077779
15.0,1e-05,16.0,0.5,522.1346856839955
1.0,1e-05,32.0,0.5,16.920987237710506
5.0,1e-05,32.0,0.5,127.2780495500192
10.0,1e-05,32.0,0.5,253.21361457789317
15.0,1e-05,32.0,0.5,378.7976925210096
1.0,1e-05,64.0,0.5,12.221584876999259
5.0,1e-05,64.0,0.5,104.40222926903516
10.0,1e-05,64.0,0.5,204.40072534279898
15.0,1e-05,64.0,0.5,302.55646033305675
1.0,1e-05,80.0,0.5,11.778479332104325
5.0,1e-05,80.0,0.5,101.79423870332539
10.0,1e-05,80.0,0.5,202.0505537171848
15.0,1e-05,80.0,0.5,302.4273976990953
1.0,0.0001,16.0,0.5,25.704775102902204
5.0,0.0001,16.0,0.5,175.09791382495314
10.0,0.0001,16.0,0.5,348.68737947707996
15.0,0.0001,16.0,0.5,522.3744244729169
1.0,0.0001,32.0,0.5,16.76203401805833
5.0,0.0001,32.0,0.5,125.9083111481741
10.0,0.0001,32.0,0.5,249.51820990722626
15.0,0.0001,32.0,0.5,373.66957740904763
1.0,0.0001,64.0,0.5,12.132957530207932
5.0,0.0001,64.0,0.5,104.28607417317107
10.0,0.0001,64.0,0.5,206.20417788112536
15.0,0.0001,64.0,0.5,308.5668379520066
1.0,0.0001,80.0,0.5,11.478213301859796
5.0,0.0001,80.0,0.5,92.9399139340967
10.0,0.0001,80.0,0.5,183.9895280362107
15.0,0.0001,80.0,0.5,275.2067619850859
1.0,0.001,16.0,0.5,22.62615188676864
5.0,0.001,16.0,0.5,151.53385888691992
10.0,0.001,16.0,0.5,302.68021519714966
15.0,0.001,16.0,0.5,453.4467495540157
1.0,0.001,32.0,0.5,14.733984800055623
5.0,0.001,32.0,0.5,110.02507863007486
10.0,0.001,32.0,0.5,219.47084031812847
15.0,0.001,32.0,0.5,328.89593372587115
1.0,0.001,64.0,0.5,11.283383895177394
5.0,0.001,64.0,0.5,93.67930299881846
10.0,0.001,64.0,0.5,185.8981212200597
15.0,0.001,64.0,0.5,277.94336057594046
1.0,0.001,80.0,0.5,10.753032886888832
5.0,0.001,80.0,0.5,89.5742885377258
10.0,0.001,80.0,0.5,178.01718255179003
15.0,0.001,80.0,0.5,266.7137303450145
5.0,0.01,16.0,0.5,144.70134337013587
10.0,0.01,16.0,0.5,288.67268408089876
15.0,0.01,16.0,0.5,432.6834005257115
1.0,0.01,32.0,0.5,14.358494130894542
5.0,0.01,32.0,0.5,106.7529964717105
10.0,0.01,32.0,0.5,212.0692216316238
15.0,0.01,32.0,0.5,317.51244628382847
10.0,0.01,64.0,0.5,180.27064139815047
15.0,0.01,64.0,0.5,270.02887597633526
1.0,0.01,80.0,0.5,10.781833644025028
5.0,0.01,80.0,0.5,89.30952172912657
10.0,0.01,80.0,0.5,177.79314437089488
15.0,0.01,80.0,0.5,266.3673167768866
1.0,1e-06,16.0,0.75,21.02662314893678
5.0,1e-06,16.0,0.75,144.0112589308992
10.0,1e-06,16.0,0.75,287.551675603725
15.0,1e-06,16.0,0.75,432.1606341660954
1.0,1e-06,32.0,0.75,14.299423743970692
5.0,1e-06,32.0,0.75,106.34370086994022
10.0,1e-06,32.0,0.75,211.5734199169092
15.0,1e-06,32.0,0.75,317.18677958101034
1.0,1e-06,64.0,0.75,11.491090147290379
5.0,1e-06,64.0,0.75,91.28879492497072
10.0,1e-06,64.0,0.75,180.25306832091883
15.0,1e-06,64.0,0.75,269.6884132293053
1.0,1e-06,80.0,0.75,10.885579064954072
5.0,1e-06,80.0,0.75,90.77444343734533
10.0,1e-06,80.0,0.75,181.12928721727803
15.0,1e-06,80.0,0.75,271.6050314293243
1.0,1e-05,16.0,0.75,21.876501082908362
5.0,1e-05,16.0,0.75,149.42398822307587
10.0,1e-05,16.0,0.75,298.10076192906126
15.0,1e-05,16.0,0.75,446.4463483309373
1.0,1e-05,32.0,0.75,14.583717301022261
5.0,1e-05,32.0,0.75,110.30954988393933
10.0,1e-05,32.0,0.75,230.52884874399751
15.0,1e-05,32.0,0.75,352.52206042408943
1.0,1e-05,64.0,0.75,11.94466661522165
5.0,1e-05,64.0,0.75,102.77047733590007
10.0,1e-05,64.0,0.75,203.52651378279552
15.0,1e-05,64.0,0.75,304.3446267680265
1.0,1e-05,80.0,0.75,11.653544433880597
5.0,1e-05,80.0,0.75,100.63955398229882
10.0,1e-05,80.0,0.75,199.68463574908674
15.0,1e-05,80.0,0.75,299.14171478617936
1.0,0.0001,16.0,0.75,25.735491595696658
5.0,0.0001,16.0,0.75,175.67308360897005
10.0,0.0001,16.0,0.75,349.94360607583076
15.0,0.0001,16.0,0.75,524.3777389768511
1.0,0.0001,32.0,0.75,15.198387084994465
5.0,0.0001,32.0,0.75,118.98784500127658
10.0,0.0001,32.0,0.75,241.95654928823933
15.0,0.0001,32.0,0.75,364.1095938193612
1.0,0.0001,64.0,0.75,12.312402974814177
5.0,0.0001,64.0,0.75,102.68465972971171
10.0,0.0001,64.0,0.75,203.25354624493048
15.0,0.0001,64.0,0.75,304.46351252682507
1.0,0.0001,80.0,0.75,11.758928982075304
5.0,0.0001,80.0,0.75,100.70052916184068
10.0,0.0001,80.0,0.75,199.78254001494497
15.0,0.0001,80.0,0.75,299.44994880305603
1.0,0.001,16.0,0.75,25.676636187825352
5.0,0.001,16.0,0.75,174.2117930999957
10.0,0.001,16.0,0.75,347.3197811548598
15.0,0.001,16.0,0.75,519.6766226151958
1.0,0.001,32.0,0.75,15.864208205137402
5.0,0.001,32.0,0.75,118.40799736697227
10.0,0.001,32.0,0.75,235.6061453432776
15.0,0.001,32.0,0.75,352.39430630300194
1.0,0.001,64.0,0.75,11.99652236700058
5.0,0.001,64.0,0.75,102.38015234284103
10.0,0.001,64.0,0.75,202.57268278300762
15.0,0.001,64.0,0.75,303.2685510790907
1.0,0.001,80.0,0.75,11.59123945236206
5.0,0.001,80.0,0.75,100.26455148216337
10.0,0.001,80.0,0.75,198.91286993399262
15.0,0.001,80.0,0.75,297.99899772321805
1.0,0.01,16.0,0.75,25.59102201880887
5.0,0.01,16.0,0.75,175.03201689198613
10.0,0.01,16.0,0.75,348.5300041898154
15.0,0.01,16.0,0.75,521.2519894968718
5.0,0.01,32.0,0.75,124.17775111598894
10.0,0.01,32.0,0.75,246.51806473871693
15.0,0.01,32.0,0.75,369.1025450578891
1.0,0.01,64.0,0.75,11.576867432333529
5.0,0.01,64.0,0.75,95.59742862125859
10.0,0.01,64.0,0.75,190.3298223381862
15.0,0.01,64.0,0.75,285.5351101020351
5.0,0.01,80.0,0.75,94.1444533909671
10.0,0.01,80.0,0.75,187.4676420269534
15.0,0.01,80.0,0.75,281.2036268687807
1.0,1e-06,16.0,0.9,23.84359438996762
5.0,1e-06,16.0,0.9,159.86091281985864
10.0,1e-06,16.0,0.9,319.3148438911885
15.0,1e-06,16.0,0.9,477.8686881070025
1.0,1e-06,32.0,0.9,15.417008346877992
5.0,1e-06,32.0,0.9,115.08721458213404
10.0,1e-06,32.0,0.9,228.67820423096418
15.0,1e-06,32.0,0.9,341.94335691910237
1.0,1e-06,64.0,0.9,11.415211535058916
5.0,1e-06,64.0,0.9,95.29010161478072
10.0,1e-06,64.0,0.9,189.12923780363053
15.0,1e-06,64.0,0.9,283.0135028860532
1.0,1e-06,80.0,0.9,11.094095932785422
5.0,1e-06,80.0,0.9,93.24888801574707
10.0,1e-06,80.0,0.9,186.42001524800435
15.0,1e-06,80.0,0.9,278.99278579093516
1.0,1e-05,16.0,0.9,23.143356003798544
5.0,1e-05,16.0,0.9,156.46504104463384
10.0,1e-05,16.0,0.9,312.00516599882394
15.0,1e-05,16.0,0.9,467.254107655026
1.0,1e-05,32.0,0.9,15.204137641005218
5.0,1e-05,32.0,0.9,113.06089123804122
10.0,1e-05,32.0,0.9,224.63307885732502
15.0,1e-05,32.0,0.9,336.10339324129745
1.0,1e-05,64.0,0.9,11.917616174090654
5.0,1e-05,64.0,0.9,102.67166191106662
10.0,1e-05,64.0,0.9,202.61392121296376
15.0,1e-05,64.0,0.9,303.23561791703105
1.0,1e-05,80.0,0.9,11.91759403469041
5.0,1e-05,80.0,0.9,99.9775435756892
10.0,1e-05,80.0,0.9,198.8773122546263
15.0,1e-05,80.0,0.9,298.3426968380809
1.0,0.0001,16.0,0.9,24.924072018824518
5.0,0.0001,16.0,0.9,170.42639589961618
10.0,0.0001,16.0,0.9,340.0247593577951
15.0,0.0001,16.0,0.9,509.17434783186764
1.0,0.0001,32.0,0.9,16.0495513449423
5.0,0.0001,32.0,0.9,122.32786933099851
10.0,0.0001,32.0,0.9,242.71280390722677
15.0,0.0001,32.0,0.9,363.78926548501477
1.0,0.0001,64.0,0.9,12.266412451397628
5.0,0.0001,64.0,0.9,102.04114614706486
10.0,0.0001,64.0,0.9,202.28065743716434
15.0,0.0001,64.0,0.9,303.50591508997604
1.0,0.0001,80.0,0.9,11.57871370902285
5.0,0.0001,80.0,0.9,99.98927359795198
10.0,0.0001,80.0,0.9,199.3319070842117
15.0,0.0001,80.0,0.9,298.0773370577954
1.0,0.001,16.0,0.9,24.97668456006795
5.0,0.001,16.0,0.9,170.07359306514263
10.0,0.001,16.0,0.9,339.51895883725956
15.0,0.001,16.0,0.9,508.95636075921357
1.0,0.001,32.0,0.9,15.968580150976777
5.0,0.001,32.0,0.9,121.77346367109567
10.0,0.001,32.0,0.9,241.43162061972544
15.0,0.001,32.0,0.9,360.7560358531773
1.0,0.001,64.0,0.9,11.876245811581612
5.0,0.001,64.0,0.9,101.82795604784042
10.0,0.001,64.0,0.9,201.21252295468003
15.0,0.001,64.0,0.9,301.25753392791376
1.0,0.001,80.0,0.9,12.003690640907735
5.0,0.001,80.0,0.9,100.16217056009918
10.0,0.001,80.0,0.9,198.24238842492923
15.0,0.001,80.0,0.9,297.03160395892337
1.0,0.01,16.0,0.9,24.887807654216886
5.0,0.01,16.0,0.9,169.6378712770529
10.0,0.01,16.0,0.9,337.5846242951229
15.0,0.01,16.0,0.9,505.8654384808615
5.0,0.01,32.0,0.9,121.14763577003032
10.0,0.01,32.0,0.9,241.5752712697722
15.0,0.01,32.0,0.9,361.1455521979369
1.0,0.01,64.0,0.9,11.914051472209394
5.0,0.01,64.0,0.9,101.46688302606344
10.0,0.01,64.0,0.9,200.97825180692598
15.0,0.01,64.0,0.9,300.80426153726876
5.0,0.01,80.0,0.9,100.23124730400741
10.0,0.01,80.0,0.9,198.45301532465965
15.0,0.01,80.0,0.9,297.20331417769194
