training size,learning rate,batch size,weight decay,training time
0.2,1e-06,16.0,0.1,5.32949186488986
0.2,1e-06,64.0,0.01,2.7266979217529297
0.2,1e-05,16.0,0.001,5.365523025859147
0.2,1e-05,16.0,0.01,5.3319744491018355
0.2,1e-05,16.0,0.1,5.3267106539569795
0.2,1e-05,32.0,0.0,3.6455943640321493
0.2,1e-05,32.0,0.001,3.624886628240347
0.2,1e-05,32.0,0.01,3.6249875728972256
0.2,1e-05,32.0,0.1,3.6216992218978703
0.2,1e-05,64.0,0.0,2.862552238162607
0.2,1e-05,64.0,0.01,2.75865980098024
0.2,1e-05,80.0,0.0,2.6262437012046576
0.2,1e-05,80.0,0.001,2.6276400201022625
0.2,1e-05,80.0,0.1,2.6578636500053108
0.2,0.0001,16.0,0.0,5.2633473593741655
0.2,0.0001,16.0,0.001,5.17237614095211
0.2,0.0001,16.0,0.01,5.358940978068858
0.2,0.0001,16.0,0.1,5.381719637662172
0.2,0.0001,32.0,0.0,3.5795317851006985
0.2,0.0001,32.0,0.001,3.557160219643265
0.2,0.0001,32.0,0.01,3.544898862950504
0.2,0.0001,32.0,0.1,3.504893699195236
0.2,0.0001,64.0,0.001,2.8566457158885896
0.2,0.0001,64.0,0.01,2.6913649421185255
0.2,0.0001,64.0,0.1,2.7391869737766683
0.2,0.0001,80.0,0.0,2.7436401792801917
0.2,0.0001,80.0,0.001,2.7731899367645383
0.2,0.0001,80.0,0.01,2.748748981859535
0.2,0.0001,80.0,0.1,2.6559422449208796
0.2,0.001,16.0,0.0,5.103608984965831
0.2,0.001,32.0,0.0,3.6271020169369876
0.2,0.001,32.0,0.001,3.4683266798965633
0.2,0.001,32.0,0.01,3.5594447632320225
0.2,0.001,32.0,0.1,3.5940441638231277
0.2,0.001,64.0,0.01,2.7077467353083193
0.2,0.001,80.0,0.0,2.622582341078669
0.2,0.001,80.0,0.01,2.7531885099597275
0.2,0.001,80.0,0.1,2.769798638764769
0.2,0.01,32.0,0.0,3.399933987762779
0.4,1e-06,16.0,0.0,11.319139027968049
0.4,1e-06,16.0,0.001,11.526211211457849
0.4,1e-06,16.0,0.1,11.56281740264967
0.4,1e-06,32.0,0.0,7.262848722282797
0.4,1e-06,32.0,0.01,7.06402289820835
0.4,1e-06,80.0,0.0,5.557672220747918
0.4,1e-06,80.0,0.01,5.787874802015722
0.4,1e-05,16.0,0.0,11.236914185807109
0.4,1e-05,16.0,0.001,11.480061003006995
0.4,1e-05,16.0,0.01,11.638576507102698
0.4,1e-05,16.0,0.1,11.631289708893746
0.4,1e-05,32.0,0.0,7.3958592102862895
0.4,1e-05,32.0,0.001,7.340669154189527
0.4,1e-05,32.0,0.01,7.607961675617844
0.4,1e-05,32.0,0.1,7.296012269333005
0.4,1e-05,64.0,0.001,5.810427584219724
0.4,1e-05,64.0,0.01,5.735715013928711
0.4,1e-05,64.0,0.1,5.723096981178969
0.4,1e-05,80.0,0.001,5.788290944881737
0.4,1e-05,80.0,0.01,5.498198122251779
0.4,0.0001,16.0,0.0,11.525518720038235
0.4,0.0001,16.0,0.001,11.259139683097601
0.4,0.0001,16.0,0.01,11.479228761978447
0.4,0.0001,16.0,0.1,11.322545886971056
0.4,0.0001,32.0,0.0,7.252366087865084
0.4,0.0001,32.0,0.001,7.5273712780326605
0.4,0.0001,32.0,0.01,7.2349475640803576
0.4,0.0001,32.0,0.1,7.690580989699811
0.4,0.0001,64.0,0.0,5.607156472746283
0.4,0.0001,64.0,0.001,6.128755170851946
0.4,0.0001,64.0,0.01,5.630626713391393
0.4,0.0001,64.0,0.1,5.611197538208216
0.4,0.0001,80.0,0.0,5.688470689114183
0.4,0.0001,80.0,0.001,5.503658274654299
0.4,0.0001,80.0,0.01,5.79216733109206
0.4,0.0001,80.0,0.1,5.46452697692439
0.4,0.001,16.0,0.0,11.397281513083726
0.4,0.001,16.0,0.001,11.363536980934441
0.4,0.001,16.0,0.01,11.584394191391766
0.4,0.001,32.0,0.0,7.4829388447105885
0.4,0.001,32.0,0.001,7.254629123955965
0.4,0.001,32.0,0.01,7.523256511893123
0.4,0.001,64.0,0.0,5.794027025811374
0.4,0.001,64.0,0.001,5.832537814043462
0.4,0.001,64.0,0.01,5.602009783033282
0.4,0.001,80.0,0.0,5.450595655012876
0.4,0.001,80.0,0.001,5.5753638399764895
0.4,0.001,80.0,0.01,5.5581216514110565
0.4,0.01,32.0,0.001,7.534456318709999
0.4,0.01,80.0,0.001,5.496523558162153
0.4,0.01,80.0,0.01,5.8166047958657146
0.6,1e-06,16.0,0.001,17.539240272250026
0.6,1e-06,16.0,0.1,17.710102611221373
0.6,1e-06,32.0,0.0,11.375953121110797
0.6,1e-06,32.0,0.001,11.114549295045435
0.6,1e-06,32.0,0.01,11.326151257846504
0.6,1e-06,64.0,0.0,8.532602078747004
0.6,1e-06,64.0,0.01,8.595836293883622
0.6,1e-05,16.0,0.0,17.04952365765348
0.6,1e-05,16.0,0.001,17.792131175287068
0.6,1e-05,16.0,0.01,17.89609880000353
0.6,1e-05,16.0,0.1,17.169936569873244
0.6,1e-05,32.0,0.0,11.153048667125404
0.6,1e-05,32.0,0.001,11.195236823055893
0.6,1e-05,32.0,0.01,11.131761690136045
0.6,1e-05,32.0,0.1,11.152991908602417
0.6,1e-05,64.0,0.0,8.806698246859014
0.6,1e-05,64.0,0.001,8.804285035002977
0.6,1e-05,64.0,0.1,8.603676403872669
0.6,1e-05,80.0,0.0,8.251178976148367
0.6,1e-05,80.0,0.001,8.448276944924146
0.6,1e-05,80.0,0.01,8.380790758877993
0.6,1e-05,80.0,0.1,8.520976532250643
0.6,0.0001,16.0,0.0,18.120843261945993
0.6,0.0001,16.0,0.001,17.842534767929465
0.6,0.0001,16.0,0.01,17.167950434144586
0.6,0.0001,16.0,0.1,17.189858922734857
0.6,0.0001,32.0,0.0,11.514195756986737
0.6,0.0001,32.0,0.001,11.504823524970561
0.6,0.0001,32.0,0.01,11.473361452575773
0.6,0.0001,32.0,0.1,11.387595179025084
0.6,0.0001,64.0,0.0,8.972382694948465
0.6,0.0001,64.0,0.001,8.535473158117384
0.6,0.0001,64.0,0.01,8.576889916788787
0.6,0.0001,64.0,0.1,8.572049781680107
0.6,0.0001,80.0,0.0,8.609766134992242
0.6,0.0001,80.0,0.001,8.85433738026768
0.6,0.0001,80.0,0.01,8.41143263829872
0.6,0.0001,80.0,0.1,8.391819139011204
0.6,0.001,16.0,0.0,17.22536627901718
0.6,0.001,16.0,0.01,17.46915000071749
0.6,0.001,16.0,0.1,17.421588725876063
0.6,0.001,32.0,0.0,11.159862863831222
0.6,0.001,32.0,0.001,11.072781986091286
0.6,0.001,32.0,0.01,11.242356427013874
0.6,0.001,32.0,0.1,11.01285949908197
0.6,0.001,64.0,0.001,8.536065433174372
0.6,0.001,80.0,0.0,8.418700114358217
0.6,0.001,80.0,0.001,8.503449374809861
0.6,0.001,80.0,0.01,8.299798334017396
0.6,0.001,80.0,0.1,8.29318607924506
0.6,0.01,16.0,0.0,17.346694400999695
0.6,0.01,16.0,0.001,17.614422630053014
0.6,0.01,16.0,0.01,17.576800564769655
0.6,0.01,32.0,0.0,11.266068638768047
0.6,0.01,32.0,0.1,12.041585467290133
0.8,1e-06,16.0,0.0,23.84359438996762
0.8,1e-06,16.0,0.01,24.29994035512209
0.8,1e-06,16.0,0.1,24.014663100708276
0.8,1e-06,32.0,0.0,15.417008346877992
0.8,1e-06,64.0,0.0,11.415211535058916
0.8,1e-06,64.0,0.001,11.597878988832235
0.8,1e-06,64.0,0.01,11.891948938835412
0.8,1e-06,64.0,0.1,11.678419047035277
0.8,1e-06,80.0,0.0,11.094095932785422
0.8,1e-06,80.0,0.001,11.46801777696237
0.8,1e-05,16.0,0.0,23.143356003798544
0.8,1e-05,16.0,0.001,23.804791533388197
0.8,1e-05,16.0,0.01,23.80585813196376
0.8,1e-05,16.0,0.1,23.487761745695025
0.8,1e-05,32.0,0.0,15.204137641005218
0.8,1e-05,32.0,0.001,15.287624387070537
0.8,1e-05,32.0,0.01,15.091134287882596
0.8,1e-05,32.0,0.1,15.229561924003065
0.8,1e-05,64.0,0.0,11.917616174090654
0.8,1e-05,64.0,0.001,11.913564343005419
0.8,1e-05,64.0,0.01,11.906246697995812
0.8,1e-05,64.0,0.1,12.126573919784278
0.8,1e-05,80.0,0.0,11.91759403469041
0.8,1e-05,80.0,0.01,11.63670316990465
0.8,1e-05,80.0,0.1,11.8286262457259
0.8,0.0001,16.0,0.0,24.924072018824518
0.8,0.0001,16.0,0.001,25.679529279004782
0.8,0.0001,16.0,0.01,25.617136414162815
0.8,0.0001,16.0,0.1,25.201934640761465
0.8,0.0001,32.0,0.0,16.0495513449423
0.8,0.0001,32.0,0.001,16.084124314133078
0.8,0.0001,32.0,0.01,16.01993876695633
0.8,0.0001,32.0,0.1,15.83956035785377
0.8,0.0001,64.0,0.0,12.266412451397628
0.8,0.0001,64.0,0.001,11.855358151718974
0.8,0.0001,64.0,0.01,12.038450852036476
0.8,0.0001,64.0,0.1,12.093743158970028
0.8,0.0001,80.0,0.0,11.57871370902285
0.8,0.0001,80.0,0.001,11.938997581135482
0.8,0.0001,80.0,0.01,11.570762367919087
0.8,0.0001,80.0,0.1,11.938393414020538
0.8,0.001,16.0,0.0,24.97668456006795
0.8,0.001,16.0,0.001,25.565598336979747
0.8,0.001,16.0,0.01,25.682439936324954
0.8,0.001,32.0,0.0,15.968580150976777
0.8,0.001,32.0,0.001,15.942338385153562
0.8,0.001,32.0,0.01,15.95711070485413
0.8,0.001,32.0,0.1,16.13375973002985
0.8,0.001,64.0,0.0,11.876245811581612
0.8,0.001,64.0,0.001,11.855521451216191
0.8,0.001,80.0,0.0,12.003690640907735
0.8,0.001,80.0,0.001,11.757893322966993
0.8,0.001,80.0,0.01,11.603903498034924
0.8,0.01,16.0,0.0,24.887807654216886
0.8,0.01,16.0,0.001,25.473000545985997
0.8,0.01,32.0,0.001,16.01012219162658
0.8,0.01,64.0,0.0,11.914051472209394
0.8,0.01,64.0,0.1,12.06872195797041
0.8,0.01,80.0,0.001,11.814975150860846
0.8,0.01,80.0,0.1,11.739109023008496
