epoch number,batch size,dropout rate,weight decay,training time
1.0,16.0,0.25,0.0,25.253849774133414
5.0,16.0,0.25,0.0,171.01994515117258
10.0,16.0,0.25,0.0,341.68014775495976
15.0,16.0,0.25,0.0,512.3789457147941
1.0,16.0,0.25,0.001,25.953202851116657
5.0,16.0,0.25,0.001,173.23183625610545
10.0,16.0,0.25,0.001,345.382731617894
15.0,16.0,0.25,0.001,517.4067835398018
1.0,16.0,0.25,0.01,25.96693661995232
5.0,16.0,0.25,0.01,173.6591773009859
10.0,16.0,0.25,0.01,344.86299761291593
15.0,16.0,0.25,0.01,516.8620760217309
1.0,16.0,0.25,0.1,25.77608618279919
10.0,16.0,0.25,0.1,345.3956405799836
15.0,16.0,0.25,0.1,518.1858250070363
1.0,32.0,0.25,0.0,16.385256104171276
5.0,32.0,0.25,0.0,122.82057186495513
10.0,32.0,0.25,0.0,244.5556056429632
15.0,32.0,0.25,0.0,366.45560131780803
1.0,32.0,0.25,0.001,16.175427093170583
5.0,32.0,0.25,0.001,122.68604240519926
10.0,32.0,0.25,0.001,244.04907805332914
15.0,32.0,0.25,0.001,366.2806447362527
1.0,32.0,0.25,0.01,16.200745474081486
5.0,32.0,0.25,0.01,123.52542807674035
10.0,32.0,0.25,0.01,245.19185537099838
15.0,32.0,0.25,0.01,366.5783660998568
5.0,32.0,0.25,0.1,122.56621519615874
15.0,32.0,0.25,0.1,366.0034992368892
1.0,64.0,0.25,0.0,11.941742057912052
5.0,64.0,0.25,0.0,102.28649927210063
10.0,64.0,0.25,0.0,203.09080706676468
15.0,64.0,0.25,0.0,303.51182039268315
1.0,64.0,0.25,0.001,11.915920402854681
5.0,64.0,0.25,0.001,101.47928813286126
10.0,64.0,0.25,0.001,201.80618161382154
15.0,64.0,0.25,0.001,302.2904014880769
5.0,64.0,0.25,0.01,101.79059833381325
10.0,64.0,0.25,0.01,202.27849656669423
15.0,64.0,0.25,0.01,301.53762771887705
5.0,64.0,0.25,0.1,99.83169491030276
10.0,64.0,0.25,0.1,195.31519976211712
1.0,80.0,0.25,0.0,11.705231982748955
5.0,80.0,0.25,0.0,101.11825215769932
10.0,80.0,0.25,0.0,200.80322859901935
15.0,80.0,0.25,0.0,300.44845420867205
1.0,80.0,0.25,0.001,12.051438996102661
5.0,80.0,0.25,0.001,102.10277208033949
10.0,80.0,0.25,0.001,202.52350144740194
15.0,80.0,0.25,0.001,301.8623345163651
1.0,80.0,0.25,0.01,11.650926399976015
5.0,80.0,0.25,0.01,102.14527134783566
10.0,80.0,0.25,0.01,202.8012196221389
15.0,80.0,0.25,0.01,303.5022234469652
5.0,80.0,0.25,0.1,102.44835780002177
10.0,80.0,0.25,0.1,203.2998444638215
1.0,16.0,0.5,0.0,22.62615188676864
5.0,16.0,0.5,0.0,151.53385888691992
10.0,16.0,0.5,0.0,302.68021519714966
15.0,16.0,0.5,0.0,453.4467495540157
1.0,16.0,0.5,0.001,22.88332442007959
5.0,16.0,0.5,0.001,155.30937443114817
10.0,16.0,0.5,0.001,306.41524099418893
15.0,16.0,0.5,0.001,458.22495696600527
5.0,16.0,0.5,0.01,152.82586414786056
10.0,16.0,0.5,0.01,304.39471869403496
15.0,16.0,0.5,0.01,455.797740526963
1.0,16.0,0.5,0.1,22.92237828904763
5.0,16.0,0.5,0.1,152.62431062711403
10.0,16.0,0.5,0.1,304.3609927203506
1.0,32.0,0.5,0.0,14.733984800055623
5.0,32.0,0.5,0.0,110.02507863007486
10.0,32.0,0.5,0.0,219.47084031812847
15.0,32.0,0.5,0.0,328.89593372587115
1.0,32.0,0.5,0.001,14.675108244176954
5.0,32.0,0.5,0.001,110.70699226623401
10.0,32.0,0.5,0.001,220.34013776341453
15.0,32.0,0.5,0.001,329.6268647974357
1.0,32.0,0.5,0.01,15.160656235180795
10.0,32.0,0.5,0.01,220.57136234315112
15.0,32.0,0.5,0.01,330.18119614524767
5.0,32.0,0.5,0.1,110.12673803512007
10.0,32.0,0.5,0.1,220.0928233950399
1.0,64.0,0.5,0.0,11.283383895177394
5.0,64.0,0.5,0.0,93.67930299881846
10.0,64.0,0.5,0.0,185.8981212200597
15.0,64.0,0.5,0.0,277.94336057594046
1.0,64.0,0.5,0.001,11.69350358704105
5.0,64.0,0.5,0.001,94.08626339305192
10.0,64.0,0.5,0.001,186.08826133608818
15.0,64.0,0.5,0.001,278.0652420199476
1.0,64.0,0.5,0.01,11.514035749714822
5.0,64.0,0.5,0.01,93.1248034639284
15.0,64.0,0.5,0.01,272.5747331487946
1.0,64.0,0.5,0.1,11.315665545873344
1.0,80.0,0.5,0.0,10.753032886888832
5.0,80.0,0.5,0.0,89.5742885377258
10.0,80.0,0.5,0.0,178.01718255179003
15.0,80.0,0.5,0.0,266.7137303450145
1.0,80.0,0.5,0.001,10.91760556679219
5.0,80.0,0.5,0.001,89.14027015818283
10.0,80.0,0.5,0.001,177.49181255185977
15.0,80.0,0.5,0.001,266.22659472888336
1.0,80.0,0.5,0.01,10.676517093088478
10.0,80.0,0.5,0.01,177.68567932303995
15.0,80.0,0.5,0.01,266.6016454589553
5.0,80.0,0.5,0.1,89.66310727922246
15.0,80.0,0.5,0.1,267.04726508492604
1.0,16.0,0.75,0.0,25.676636187825352
5.0,16.0,0.75,0.0,174.2117930999957
10.0,16.0,0.75,0.0,347.3197811548598
15.0,16.0,0.75,0.0,519.6766226151958
5.0,16.0,0.75,0.001,174.912765936926
10.0,16.0,0.75,0.001,348.57049728697166
15.0,16.0,0.75,0.001,522.5437222877517
1.0,16.0,0.75,0.01,26.303152630105615
5.0,16.0,0.75,0.01,175.20977193815634
10.0,16.0,0.75,0.01,349.33811989426613
15.0,16.0,0.75,0.01,522.7459744531661
1.0,16.0,0.75,0.1,25.963909252081066
5.0,16.0,0.75,0.1,173.50509272981435
10.0,16.0,0.75,0.1,343.5346154398285
1.0,32.0,0.75,0.0,15.864208205137402
5.0,32.0,0.75,0.0,118.40799736697227
10.0,32.0,0.75,0.0,235.6061453432776
15.0,32.0,0.75,0.0,352.39430630300194
1.0,32.0,0.75,0.001,15.351915863808244
5.0,32.0,0.75,0.001,116.98741691093892
10.0,32.0,0.75,0.001,241.83019578177482
15.0,32.0,0.75,0.001,365.8961310349405
1.0,32.0,0.75,0.01,16.83440666599199
5.0,32.0,0.75,0.01,124.72564968373626
10.0,32.0,0.75,0.01,248.02782978769392
15.0,32.0,0.75,0.01,370.87348535610363
10.0,32.0,0.75,0.1,247.03034773794934
1.0,64.0,0.75,0.0,11.99652236700058
5.0,64.0,0.75,0.0,102.38015234284103
10.0,64.0,0.75,0.0,202.57268278300762
15.0,64.0,0.75,0.0,303.2685510790907
1.0,64.0,0.75,0.001,11.98738503921777
5.0,64.0,0.75,0.001,102.15088158706203
10.0,64.0,0.75,0.001,203.22641616733745
15.0,64.0,0.75,0.001,304.18505388405174
10.0,64.0,0.75,0.01,202.69156480766833
15.0,64.0,0.75,0.01,303.59920494863763
1.0,80.0,0.75,0.0,11.59123945236206
5.0,80.0,0.75,0.0,100.26455148216337
10.0,80.0,0.75,0.0,198.91286993399262
15.0,80.0,0.75,0.0,297.99899772321805
1.0,80.0,0.75,0.001,11.886617677751929
5.0,80.0,0.75,0.001,100.51762032462284
10.0,80.0,0.75,0.001,200.51989758294076
15.0,80.0,0.75,0.001,299.9127984168008
10.0,80.0,0.75,0.01,200.40506652696058
15.0,80.0,0.75,0.01,300.09598872903734
1.0,80.0,0.75,0.1,11.860356679186225
15.0,80.0,0.75,0.1,300.4459441401996
1.0,16.0,0.9,0.0,24.97668456006795
5.0,16.0,0.9,0.0,170.07359306514263
10.0,16.0,0.9,0.0,339.51895883725956
15.0,16.0,0.9,0.0,508.95636075921357
1.0,16.0,0.9,0.001,25.565598336979747
10.0,16.0,0.9,0.001,342.7418758152053
15.0,16.0,0.9,0.001,513.1896960609592
1.0,16.0,0.9,0.01,25.682439936324954
5.0,16.0,0.9,0.01,170.76834400603548
10.0,16.0,0.9,0.01,340.45316669810563
15.0,16.0,0.9,0.01,509.6688392222859
5.0,16.0,0.9,0.1,170.50803165510297
10.0,16.0,0.9,0.1,340.53576156590134
15.0,16.0,0.9,0.1,510.15253210114315
1.0,32.0,0.9,0.0,15.968580150976777
5.0,32.0,0.9,0.0,121.77346367109567
10.0,32.0,0.9,0.0,241.43162061972544
15.0,32.0,0.9,0.0,360.7560358531773
1.0,32.0,0.9,0.001,15.942338385153562
5.0,32.0,0.9,0.001,121.7761217020452
10.0,32.0,0.9,0.001,243.12342149810866
15.0,32.0,0.9,0.001,363.1341484240256
1.0,32.0,0.9,0.01,15.95711070485413
5.0,32.0,0.9,0.01,121.88865745160729
10.0,32.0,0.9,0.01,242.88469296088442
15.0,32.0,0.9,0.01,363.15276653086767
1.0,32.0,0.9,0.1,16.13375973002985
5.0,32.0,0.9,0.1,122.06259454507381
10.0,32.0,0.9,0.1,242.65984064899385
15.0,32.0,0.9,0.1,363.2819016119465
1.0,64.0,0.9,0.0,11.876245811581612
5.0,64.0,0.9,0.0,101.82795604784042
10.0,64.0,0.9,0.0,201.21252295468003
15.0,64.0,0.9,0.0,301.25753392791376
1.0,64.0,0.9,0.001,11.855521451216191
5.0,64.0,0.9,0.001,101.05905402684584
10.0,64.0,0.9,0.001,201.8290180931799
15.0,64.0,0.9,0.001,301.2645246339962
5.0,64.0,0.9,0.01,101.71798854600638
10.0,64.0,0.9,0.01,201.28063533222303
5.0,64.0,0.9,0.1,101.5099729001522
10.0,64.0,0.9,0.1,201.69238962000236
1.0,80.0,0.9,0.0,12.003690640907735
5.0,80.0,0.9,0.0,100.16217056009918
10.0,80.0,0.9,0.0,198.24238842492923
15.0,80.0,0.9,0.0,297.03160395892337
1.0,80.0,0.9,0.001,11.757893322966993
5.0,80.0,0.9,0.001,100.24081253819168
10.0,80.0,0.9,0.001,198.1325595760718
15.0,80.0,0.9,0.001,296.2907136050053
1.0,80.0,0.9,0.01,11.603903498034924
5.0,80.0,0.9,0.01,99.98158928565681
10.0,80.0,0.9,0.01,198.78259548870847
15.0,80.0,0.9,0.01,297.56615375587717
5.0,80.0,0.9,0.1,100.12216233974323
10.0,80.0,0.9,0.1,197.9867421737872
15.0,80.0,0.9,0.1,296.38834688207135
